,recipe_name,cuisine_diet
620,Healthy Mulligatawny Soup,anglo-indian vegetarian
621,Aloo (Potato) Tikki,indian vegetarian
622,Almond caramel float,continental festive
623,Apple strudel,continental vegetarian
624,Achari Prawn Pulao,indian festive
625,Apple Oats Crumb,continental kid-friendly
626,Appam with coconut water,indian kid-friendly
627,Rice Flour Ghee Roti,indian vegetarian
628,Chocolate Custard,anglo-indian festive
629,Aloo Noodle Cutlet,indian vegetarian
630,Ande Ka Salan,indian non-vegetarian
631,Mixed vegetable Saagu,indian vegetarian
632,Coconut Milk Rice,indian vegetarian
633,Appam - Hoppers,sri-lankan vegetarian
634,Khoya,indian kid-friendly
635,Festive Sakkarai Pongal,indian festive
636,American Lemon Cheesecake,american festive
637,Sweet Pongal for Festivals,indian kid-friendly
638,Hawaian Salad,american vegetarian
639,Mutton Uppu Kandam,indian non-vegetarian
640,Carrot Bajji,indian kid-friendly
641,Chilli Chicken,indian non-vegetarian
642,Khoya for Kids,indian kid-friendly
643,Chuck Burger,american non-vegetarian
644,Continental Banana Bread,continental vegetarian
645,Alu Mayonnaise,indian vegetarian
646,Anjeer Almond ki Katli,indian kid-friendly
647,American Chopsuey,american kid-friendly
648,Aloo Masaledar,indian vegetarian
649,Ven Pongal,indian festive
650,Amritsari Fish,indian non-vegetarian
651,Adhirasam,indian festive
652,Aloo Baingan Curry,indian vegetarian
653,Apple crisp,indian kid-friendly
654,Golden Sajjappa,indian festive
655,Cardamom Flavoured Banana Lassi,indian kid-friendly
656,Arisi maavu roti,indian vegetarian
657,Alo jilo,indian vegetarian
658,Anchovies Sambal,malaysian non-vegetarian
659,Achari Chicken,indian non-vegetarian
660,Appams,indian vegetarian
661,Aam Johra,indian festive
662,Chilli Paneer,indian vegetarian
663,Aam Ka Achar,indian vegetarian
664,Amchoor Chutney,indian festive
665,Cauliflower Rice,indian vegetarian
666,Paal Payasam,indian kid-friendly
667,Appam with mashed bananas,indian kid-friendly
668,Ajwain Ki Chai,indian vegetarian
669,Spicy Vegetable and Lentils Pulao,indian vegetarian
670,Golden Macaroni Pakoda,indian vegetarian
671,Appe,indian festive
672,Almond Nescafe Cookies,continental kid-friendly
673,Angel Cake dessert,continental festive
674,Curry Leaves Chutney,indian vegetarian
675,Pineapple Stuffed Triangles,indian vegetarian
676,Arabic Shawarma,arab non-vegetarian
677,Apple Cup Cakes,continental kid-friendly
678,Choco ice cream,indian kid-friendly
679,Goondh Pak for kids,indian kid-friendly
680,Lemon Pickle,indian vegetarian
681,Easter Egg Salad,continental festive
682,Aloo - Papad,indian vegetarian
683,Adharak ki chutney,indian vegetarian
684,Aanapakaya Payasam,indian festive
685,Festive Besan Mysore Pak,indian festive
686,Aloogadde Palya,indian vegetarian
687,American Chop Suey,chinese non-vegetarian
688,Anglo Indian Vegetable Patties,anglo-indian non-vegetarian
689,Muglai Paneer,indian vegetarian
690,Agathi keerai curry,indian vegetarian
691,Almond Vanilla Custard Ice Cream - Kulfi,indian kid-friendly
692,Anarkali,indian vegetarian
693,Aloo Parantha,indian kid-friendly
694,Akara Vadisal,indian kid-friendly
695,Amti (Maharashtrian Dal),indian vegetarian
696,Appetising Salad,continental vegetarian
697,Kadalai Curry,indian vegetarian
698,Aatte Ke Laddoo,indian festive
699,Apple Cheese Sandwich,continental kid-friendly
700,Semolina Kesari with Pineapple,indian festive
701,Suji Bread in Malai,indian vegetarian
702,3-Berry Lemon Trifle,american kid-friendly
703,Cheese Bacon Omelette,continental non-vegetarian
704,Poori Payasam,indian kid-friendly
705,Almond tabbouleh,arab vegetarian
706,Egg Batura,indian non-vegetarian
707,Veg Kurma,indian vegetarian
708,Alu bhath,indian vegetarian
709,Alleppey Fish Curry,indian non-vegetarian
710,Afghani chicken korma,afghani non-vegetarian
711,Agar Agar pudding,indian kid-friendly
712,Amritsari laccha paratha,indian vegetarian
713,Aloo Dahi Wada,indian kid-friendly
714,Almond Burfi,indian kid-friendly
715,Anglo-Indian Pepper Water,anglo-indian vegetarian
716,Almorth (Mixed Meat and vegetable Stew),anglo-indian non-vegetarian
717,Amla rice,indian vegetarian
718,American Corn Curry,indo-american vegetarian
719,Chickpeas curry,indian vegetarian
720,Aleti Paleti,indian festive
721,Aam Dal,indian vegetarian
722,Tamarind rasam,indian vegetarian
723,Arab Falafel,arab vegetarian
724,Aloo Pauwa (Poha),indian vegetarian
725,Apple and date porridge,indian vegetarian
726,Aloo Tikki (Potato Cutlets),indian vegetarian
727,Continental Bread Sticks,continental vegetarian
728,Fish Roll,continental non-vegetarian
729,Low Fat Diet Salad,continental low-fat
730,Spinach Dal with Tomatoes,indian vegetarian
731,Tangy Spinach Gravy,indian vegetarian
732,Arabic Breakfast,middle-east vegetarian
733,Tangy Eggplant Gotsu,indian vegetarian
734,Anglo-Indian hot masala chops,anglo-indian non-vegetarian
735,Aloo Sev,indian vegetarian
736,Apple Mint Tea,american low-calorie
737,Aam ka Panna,indian vegetarian
738,Apple Chocolate Smoothie,indian vegetarian
739,Palak Sambar,indian vegetarian
740,"Apple, Orange and Celery Blend",indian kid-friendly
741,Aamrakhand,indian kid-friendly
742,Aam ka Ras,indian kid-friendly
743,Punjabi Murg Makhani,indian non-vegetarian
744,Amaretto Cake,continental non-vegetarian
745,Chinese Prawn Toast,chinese non-vegetarian
746,Traditional Christmas Cake,american festive
747,Leftover Idli Pakoda,indian vegetarian
748,Chilled Strawberry Souffle,indian vegetarian
749,Indian Patholi,indian festive
750,Ajwain Lachha Paratha,indian kid-friendly
751,Hawaian rolls,indian vegetarian
752,Afghan Kadhai,afghani non-vegetarian
753,Apple Pie for Easter,continental festive
754,American Stuffed tomatoes,american vegetarian
755,Peas Pulav,indian vegetarian
756,Green Peas Pulav,indian kid-friendly
757,Butter Chicken,indian non-vegetarian
758,Anglo-Indian Mince Paste Sandwiches,anglo-indian non-vegetarian
759,Semolina halwa with nuts,indian kid-friendly
760,African Chicken Wings,african non-vegetarian
761,Mango Mawa Barfi,indian kid-friendly
762,Sesame Chicken Salad,indian non-vegetarian
763,Amritsari Kulcha,indian vegetarian
764,Cheese Potato Puris,indian kid-friendly
765,Ada Pradhaman,indian festive
766,Apple Beet Cucumber Juice,indian vegetarian
767,Almond Cashew Halwa,indian festive
768,Doi potol,indian vegetarian
769,Anglo- Indian Brain Cutlets,anglo-indian non-vegetarian
770,Apple bulghar,indian vegetarian
771,Plain Egg Salad,indian non-vegetarian
772,Akki Unde Kadubu,indian vegetarian
773,Apple Wine,anglo-indian festive
774,Arborio Rice in Buttermilk,indian vegetarian
775,Apple Milkshake,indian vegetarian
776,Tangy Groundnut Thokku,indian vegetarian
777,Mayonnaise,continental non-vegetarian
778,Manga Kadala,indian vegetarian
779,Ambat bhat,indian vegetarian
780,Apricot Summer Sundae,american kid-friendly
781,Almond Carrot Kheer,indian festive
782,Asian Noodles,asian vegetarian
783,Vanilla Lassi,indian vegetarian
784,Macaroni Pakoda,indian kid-friendly
785,Appetising Jeera Goli,indian vegetarian
786,Apple Bajji,indian kid-friendly
787,Aaoshi Smoked Pork with Fermented Soya Bean,indian non-vegetarian
788,Sweet Rava Idly with Jaggery,indian kid-friendly
789,Alchikeri,indian vegetarian
790,Gaajar chawal,indian vegetarian
791,Apple Jam,continental kid-friendly
792,Easy Microwave Carrot Halwa,indian kid-friendly
793,Cabbage Pakodi ki subzi,indian vegetarian
794,Capsicum Masala Curry,indian vegetarian
795,Mutton chops with Indian Spices,indian non-vegetarian
796,Aamai Vadai,indian vegetarian
797,Anglo-Indian Savoury Mince Cutlets,anglo-indian non-vegetarian
798,Hot Sweet Sour Paste,indian vegetarian
799,All India Kootu,indian vegetarian
800,Marinated Chicken Tikka Masala,indian non-vegetarian
801,Appam Batter,indian vegetarian
802,Kali Mirch Murg,indian non-vegetarian
803,Chini Hakka Noodles,chinese kid-friendly
804,Chicken with Coriander and Mint,indian non-vegetarian
805,3 Flour Sukhadi,indian festive
806,Alisa (Cracked Wheat With Mutton Porridge),indian non-vegetarian
807,Andhra Chicken,indian non-vegetarian
808,American Short Bread Cookies,american kid-friendly
809,Eggless Cake,indian kid-friendly
810,American Hot Chicken Wings,american non-vegetarian
811,Amritphal,indian vegetarian
812,Fish in Buttermilk Masala,indian non-vegetarian
813,Aloo Moong Dal Karara Wala,indian high-protein
814,Inji oorugai,indian vegetarian
815,Alu Paratha,indian vegetarian
816,Paneer in Tomato Gravy,indian vegetarian
817,Khus-Khus Naan,indian vegetarian
818,Chicken in Vinegar,indian non-vegetarian
819,Kabuli,asian kid-friendly
820,Andhra Stuffed Brinjal,indian vegetarian
821,Kabuli Chana with Potatoes,indian vegetarian
822,American Chocolate Vanilla Cake,american festive
823,Poosanikai ( Ash Gourd) kootu,indian vegetarian
824,Aloo Gobi Masala,indian vegetarian
825,Ajwain Poori,indian vegetarian
826,Hawaii Toast,indian vegetarian
827,Andhra Style Chilli Chicken,indian non-vegetarian
828,1-2-3 Chilli Chicken,indian non-vegetarian
829,Mango Pickle for All,indian kid-friendly
830,Appetising Gobi Manchurian,chinese kid-friendly
831,Rice Flour Pindi,indian kid-friendly
832,Hari Mirch ka Hara Halwa,indian vegetarian
833,Til aur Gud ka Chappati,indian vegetarian
834,Andhra Palli Chutney,indian vegetarian
835,Apple and Apricot Sandesh Pudding,indian vegetarian
836,American Spinach Pie,american kid-friendly
837,Hawaian Ginger Saffron Ice Cream,continental vegetarian
838,Amarantha Stems and Jack Fruit Seed Sukke,indian vegetarian
839,Aate Ki Pinni,indian vegetarian
840,Tomato Side Dish,indian vegetarian
841,Almond Halwa,indian vegetarian
842,Amritsari Chole,indian vegetarian
843,Apple Cheddar Crumble,american kid-friendly
844,Anglo-Indian Pork Vindaloo,anglo-indian non-vegetarian
845,Almond Date Rolls,indian kid-friendly
846,Palak Paneer with Tomatoes,indian vegetarian
847,Tandoori Masala Chicken Biryani,indian non-vegetarian
848,Caramel Pudding for Kids,anglo-indian kid-friendly
849,Andhra Kadhi,indian vegetarian
850,Almond Cappuccino,continental vegetarian
851,Anjeer Slices,indian kid-friendly
852,Achari Gosht Aur Hari Mirch,pakistani non-vegetarian
853,Kulkuls,indian kid-friendly
854,Aloo Bharta,indian vegetarian
855,American Strawberry Mousse,american kid-friendly
856,Indian Shukto,indian vegetarian
857,Amla Pickle,indian vegetarian
858,Sweet Potato Pone with Eggs,indian festive
859,Jeera Pulao with peas,indian vegetarian
860,Amla ka Pickle,indian vegetarian
861,Aniseed Sherbet,indian vegetarian
862,Stuffed Ghrekins,indian vegetarian
863,Healthy Ragi Dosa,indian vegetarian
864,Healthy Ragi Roti,indian vegetarian
865,Acquacotta,italian non-vegetarian
866,5 Cup Sweet,indian festive
867,American Salad in Indian Style,indo-american vegetarian
868,Almond Chocolate Fudge,anglo-indian festive
869,Aaloo-Baingan Mash,indian vegetarian
870,Salami Cocktail,indian festive
871,Apricot Bars,indian festive
872,Aloo Mutter,indian vegetarian
873,Aloo Baigain (Potato and Brinjal),indian vegetarian
874,Apple compote,american kid-friendly
875,Chinese Green Onion Pancakes,chinese non-vegetarian
876,American Butter Cream,american vegetarian
877,Apple Cider Doughnut,continental vegetarian
878,Arbi-Methi Kadhi,indian vegan
879,Apple Banana Carrot (ABC) Halwa,indian kid-friendly
880,Almond Chocolate Pudding,indian vegetarian
881,Aattu Kaal Soup (Paaya),indian non-vegetarian
882,Amritsari Baigan,indian vegetarian
883,Vada roll,indian kid-friendly
884,Arisa Pitha,indian kid-friendly
885,Apple Choco Shake,indian kid-friendly
886,Chilled Shrikhand,indian kid-friendly
887,Aloo ka chow chow,indian vegetarian
888,Chilled Strawberry Cake,continental vegetarian
889,Adrak Masala Chai,indian vegetarian
890,Besan Gatte ki Sabzi,indian vegetarian
891,Almond and Pistachio Dessert,continental kid-friendly
892,Aamti,indian vegetarian
893,Apple Roll with Vanilla Cream,indian kid-friendly
894,Aloo Karela Subzi,indian vegetarian
895,Almond Icing,anglo-indian festive
896,Stuffed Tomatoes,indian vegetarian
897,Aloo Tuk,indian festive
898,Alpine Muesli with Red and Green Grapes,american vegetarian
899,String beans curry,indian vegetarian
900,Almond and Orange Rava Kesari,indian festive
901,Arisium Paruppu,indian vegetarian
902,Aloo chole,indian vegetarian
903,Aloo Kheer,indian vegetarian
904,Aloo Beans,indian vegetarian
905,Almond Custard,anglo-indian festive
906,Coconut Milk Dosas,indian vegetarian
907,Egg Masala Curry,indian non-vegetarian
908,Chicken with Asaparagus Salad,american non-vegetarian
909,Achar Timun,malaysian vegetarian
910,Aloo-Pulses Kichdi,indian vegetarian
911,Angoor Basundi,indian kid-friendly
912,Apple Custard Pie,american kid-friendly
913,Continental Pineapple Souffle,continental kid-friendly
914,Kootu,indian vegetarian
915,Aloo matar,indian vegetarian
916,Quick Coconut Burfi with Ghee,indian kid-friendly
917,Eggless Banana Cake with Cinnamon,indian kid-friendly
918,Apple Mor Kuzhambu,indian vegetarian
919,Apple Tokku,indian vegetarian
920,Achaari Mushroom and Peas Pulav,indian vegetarian
921,Spinach Curd Raita,indian vegetarian
922,Almond Butter crunch Candy,american festive
923,Shrimp Vada,indian non-vegetarian
924,Walnut Chutney with curd,indian vegetarian
925,Afghani Baingan,indian vegetarian
926,Amrakand,indian vegetarian
927,"Apple, Celery and Walnut Salad",continental kid-friendly
928,Grilled Meat Kofta,indian non-vegetarian
929,All Purpose Pooris,indian vegetarian
930,Apple Country Chicken Thighs,continental non-vegetarian
931,Anarsa,indian vegetarian
932,Paneer Methi,indian vegetarian
933,Apple And Peanut Butter Wrap,anglo-indian vegetarian
934,Aloo Bonda,indian vegetarian
935,Ande Ka Mitha,indian non-vegetarian
936,A Salute to the Tricolour: Cool Salad,indian festive
937,Continental Egg Pudding,continental festive
938,Appetising Shahi paneer,indian vegetarian
939,Machi Biriyani,indian festive
940,Andhra Pesarattu,indian vegetarian
941,Clay pot Soya Bean Paneer,chinese non-vegetarian
942,Keema Kofta Biryani,indian non-vegetarian
943,Almond Nankathai,indian festive
944,Anda Pav,indian kid-friendly
945,Mixed vegetable korma,indian vegetarian
946,Soya Bean Paneer,continental non-vegetarian
947,Yummy Peas Pulao,indian vegetarian
948,Aloo rasawalla,indian vegetarian
949,Ajwain flavored roti,indian kid-friendly
950,Aloo Channa Ghessi,indian vegetarian
951,Amritsari Chhole,indian vegetarian
952,Chocolate Fudge Cake,continental kid-friendly
953,Anglo Indian Fish Croquettes,anglo-indian non-vegetarian
954,Almond Cookies,american kid-friendly
955,Almond Seera,indian kid-friendly
956,Karivepilai Sambar,indian vegetarian
957,Indian Spicy Roti,indian vegetarian
958,Mixed Veg Curry in Tomato gravy,indian vegetarian
959,Apple Cream Delight,continental kid-friendly
960,American Strawberry Pie,american kid-friendly
961,Apple Raita,indian vegetarian
962,Aloo Samosas,indian vegetarian
963,Indian Dal Makhni for All,indian kid-friendly
964,Moong Dal palak,indian vegetarian
965,Caramel Pudding,continental kid-friendly
966,Golden Cabbage Potato Pakoda,indian kid-friendly
967,Aate Ke Ladoo,indian vegetarian
968,Spicy Curry Leaf Aloo,indian vegetarian
969,Mulinja Haaq (Greens of Kohlrabi),indian vegetarian
970,Almond carrot grape smoothie,indian vegetarian
971,Oats Upma,indian kid-friendly
972,Aloo Cucumber Curry,indian vegetarian
973,Akki (Rice Flour) Roti,indian vegetarian
974,Rich Mutton Biryani with Indian Spices,indian non-vegetarian
975,Christmas Fudge,continental festive
976,Aam pora Shorbot,indian vegetarian
977,Capers Dip,indian kid-friendly
978,Keerai Kootu,indian vegetarian
979,Apple Banana Salad,indian kid-friendly
980,All fruit salad,indian vegetarian
981,Christmas Rum And Raisin Cake,anglo-indian festive
982,Chilli Ginger Chicken,indian non-vegetarian
983,Star Fruit Preserve,indian vegetarian
984,Mint Pulao with Potatoes,indian vegetarian
985,Chicken Cutlet in white sauce,continental non-vegetarian
986,Machi Dhaniawala,continental non-vegetarian
987,Aate Ki Raab,indian festive
988,Ajwain Water,indian vegetarian
989,Chundole (Mutton Roast),indian non-vegetarian
990,Arbi Sabzi,indian vegetarian
991,Machuri,indian kid-friendly
992,Anardhana Churan,indian vegetarian
993,Apple cake,american vegetarian
994,Amma's Khichdi,indian kid-friendly
995,Curry Leaf Spiced Potatoes,indian vegetarian
996,Egg Coconut Masala Curry,indian non-vegetarian
997,Peas vada,indian kid-friendly
998,Anzac Biscuits with Rolled Oats,indian kid-friendly
999,Cheese Mini Puri Sandwiches,indian kid-friendly
1000,Aloo Omelette,indian non-vegetarian
1001,Achaari Aloo,indian vegetarian
1002,Brinjal Perugu Pachadi,indian vegetarian
1003,Gobi (Cauliflower) ka kheema,indian vegetarian
1004,Green Onion Pancakes,indian non-vegetarian
1005,Anglo-Indian Beef And Vegetable Stew,anglo-indian non-vegetarian
1006,Agra Petha,indian kid-friendly
1007,A Quick and Simple Mutton Lamb Curry,anglo-indian non-vegetarian
1008,Apricot and custard delight,american kid-friendly
1009,Guntur Chicken,indian non-vegetarian
1010,Coconut Pancakes,anglo-indian kid-friendly
1011,Khara Boondhi for Diwali,indian kid-friendly
1012,Diced Mushroom Masala with Spring Onions,indian vegetarian
1013,Carrot Koftas In Creamy Float,indian vegetarian
1014,Apple Crumble Pudding,indian kid-friendly
1015,Aloo Wadi,indian vegetarian
1016,Amruthaphala Coconut Milk Fudge,indian kid-friendly
1017,Sago Kheer,indian kid-friendly
1018,Continental Chocolate Fudge Cake,continental festive
1019,Aloo Dum,indian vegetarian
1020,Aloo bonda with brown rice,indian vegetarian
1021,Vegetables in Vinegar,indian vegetarian
1022,Crab Meat Masala,indian non-vegetarian
1023,Appam with Yeast,indian vegetarian
1024,Andae Ke Lawaze,indian kid-friendly
1025,Aloo Tamatar Palak,indian vegetarian
1026,Valencian Rice,continental vegetarian
1027,Achari Gobhi,indian vegetarian
1028,Veg Momos,tibetan festive
1029,Mixed Vegetable Casserole,anglo-indian kid-friendly
1030,Tripuri Pork Salad,indian non-vegetarian
1031,Apricot Health Drink,indian vegetarian
1032,Fruit and nut sandwich,american kid-friendly
1033,Grape Milk Shake,indian vegetarian
1034,Appetising Matar Paneer,indian vegetarian
1035,Gundruk and Sinki Soup,indian vegetarian
1036,Aam Ki Gutli,indian kid-friendly
1037,Apple and plum crumble for kids,continental kid-friendly
1038,Chinese Spring Rolls,chinese vegetarian
1039,Veg Club Sandwich,continental kid-friendly
1040,Angel Food Candy,continental festive
1041,Maharastrian Vada Pav,indian vegetarian
1042,Easy Aloo Gobi,indian vegetarian
1043,Aloo Poshto,indian vegetarian
1044,Bhindi Kurkuri,indian vegetarian
1045,Apple Tuna Sandwich,american non-vegetarian
1046,Fried Channa Dal,indian festive
1047,7 Cups Sweet,indian kid-friendly
1048,Chocolate Burfi,indian festive
1049,Zarda Gane Ras Ka,indian vegetarian
1050,Fruity Glace Icing,indian festive
1051,Walnut Pudding,indian festive
1052,Apple Cider,indian vegetarian
1053,Almond Pudding,indian festive
1054,Urad dal chutney,indian vegetarian
1055,Egg Roll,indian kid-friendly
1056,Batatya Chya Kachrya,indian vegetarian
1057,Sofyani Pullao,indian non-vegetarian
1058,Almond Omelette,american non-vegetarian
1059,Veggie Wrap,continental kid-friendly
1060,Vegetable Pie,continental vegetarian
1061,Peanut Curd chutney,indian festive
1062,Fruit Pooranpoli,indian kid-friendly
1063,"Apple, Banana and Carrot Halwa",indian kid-friendly
1064,Unni Appam,indian festive
1065,Apple Tea,mediterranean vegetarian
1066,Udupi Dosa,indian vegetarian
1067,Creamy Prawn Curry with Papaya,indian non-vegetarian
1068,Vegetables Basket,indian vegetarian
1069,Cold Coffee Crunch,anglo-indian festive
1070,Yummy Mutton Biryani,indian non-vegetarian
1071,Vegetable Frankie,indian vegetarian
1072,"Yogurt, Pineapple, Banana Whip",anglo-indian festive
1073,Maharashtrian Goda (Black) Masala,indian vegetarian
1074,Traditional Omelette Curry,indian non-vegetarian
1075,Traditional Ven Pongal,indian vegetarian
1076,Yogurt Dip,indian festive
1077,Zucchini and Tomato chutney,indian vegetarian
1078,Tasty Fish Fry,indian non-vegetarian
1079,Aloo Tikki for Weight Watchers,indian vegetarian
1080,Wheat Pinnie,indian vegetarian
1081,Plain Microwave Chicken Curry,indian non-vegetarian
1082,Grilled Tomato Pickups,indian kid-friendly
1083,Vegetable Seekh Kebab,indian vegetarian
1084,Mangai Arachu Kalaki,indian vegetarian
1085,Vatha Kuzambhu,indian vegetarian
1086,Veggie Corn,indian vegetarian
1087,Triple treat chutney,indian vegetarian
1088,Aloo Paratas,indian vegetarian
1089,Italian Risotto,continental non-vegetarian
1090,Vermicelli Burfi,indian festive
1091,Almond Kova Burfi,indian festive
1092,Blueberry and Kiwi Moulds,american vegetarian
1093,Cheesy Peppery Slices,continental kid-friendly
1094,Pumpkin Cutlets,chinese vegetarian
1095,Choco-Nut Cake,indian festive
1096,Traditional Vegetable Manchurian,indian non-vegetarian
1097,Plain Lauki-Tamatar Subzi,indian vegetarian
1098,Plain Mexican Tacos,mexican vegetarian
1099,Stuffed Egg Fuyong,chinese non-vegetarian
1100,Raspberry Chocolate,continental vegetarian
1101,Traditional Roast Beef Sandwiches,anglo-indian non-vegetarian
1102,Tri Ratan Koki,indian vegetarian
1103,Wheat Rava Dosa,indian vegetarian
1104,Vaishakhi paratha,indian vegetarian
1105,Mint Chutney Sandwiches,anglo-indian kid-friendly
1106,Wheat Flakes-Oat Phirni,indian kid-friendly
1107,Vegetable Chunks in Tomato Gravy,indian vegetarian
1108,Pomegranate Sprout Bhel,indian low-calorie
1109,Spicy Lentil rice,indian vegetarian
1110,Aloo Methi with Dry Methi leaves,indian kid-friendly
1111,Traditional Tomato Bhath,indian vegetarian
1112,Chayote Squash,indian vegetarian
1113,Turai ki chutney,indian vegetarian
1114,Unda puttu,indian non-vegetarian
1115,Chicken Pickle in Vinegar,anglo-indian non-vegetarian
1116,Plain Aloo Posto,indian vegetarian
1117,Goan Chicken Vindaloo,indian festive
1118,Wheat Flakes-Potato Papadums,indian kid-friendly
1119,Vegetable Bhath,indian vegetarian
1120,Fruit Cake with Apricot Jam,american kid-friendly
1121,Egg Chicken,indian non-vegetarian
1122,Whacky Cake,american kid-friendly
1123,Festive Badam Kheer,indian vegetarian
1124,Mixed Vegetable Pancakes - Waffles,indian kid-friendly
1125,Amchoor Powder,indian vegetarian
1126,Aloo Tikkia,indian festive
1127,Kashmiri mirch Crab Curry,indian non-vegetarian
1128,Yummy Sponge Cake,english kid-friendly
1129,Plantain bajji,indian vegetarian
1130,Tuna And Pasta Bake,anglo-indian non-vegetarian
1131,Almond Halwa with Saffron,indian festive
1132,Vegetarian Palak rice,indian vegetarian
1133,Lauki masala,indian vegetarian
1134,Tuvar Masala Bath,indian vegetarian
1135,Vathakuzhambu thokku,indian vegetarian
1136,Aloo Palak Masala,indian vegetarian
1137,Vanilla Gateaux,french kid-friendly
1138,Zero oil mixed vegetable curry,indian vegetarian
1139,Crab Vindaloo,indian non-vegetarian
1140,Almond Tikki with Chhole,indian vegetarian
1141,Potato jeera fry,indian vegetarian
1142,Tropical Milk Shake,indian kid-friendly
1143,Vegetable Masala Sandwich,indian vegetarian
1144,Turai Coconut,indian vegetarian
1145,Saffron Coconut Rice,indian vegetarian
1146,Kothamalli Rice,indian vegetarian
1147,Tamarind Raita,indian vegetarian
1148,Veggi Fried Rice,chinese vegetarian
1149,Lemonade with watermelons,continental kid-friendly
1150,Instant Kuzhi Paniyaaram,indian vegetarian
1151,Ajwain Halwa,indian festive
1152,Zaikedar palak,indian vegetarian
1153,Kiwiango,indian vegetarian
1154,Vendakkai Morkozhambu,indian vegetarian
1155,Simple Bottle Gourd Halwa,indian vegetarian
1156,White Radish Greens Vegetable,indian vegetarian
1157,Vegetable Club Sandwiches,anglo-indian kid-friendly
1158,Vanilla Flavored Chocolate Fudge with Nuts,anglo-indian festive
1159,Tuna Dip,continental kid-friendly
1160,Aloo Methi with Drumstick Leaves,indian vegetarian
1161,Tortilla Spring Rolls,indian vegetarian
1162,Veg Hotpot,indian vegetarian
1163,Yoghurt Shorba,indian vegetarian
1164,Vegetable Cutlet,indian vegetarian
1165,Sea Crabs Coconut Fry,indian non-vegetarian
1166,Dahi Parwal,indian vegetarian
1167,Wholesome Cutlets,indian vegetarian
1168,Yummy Mutton Curry,indian non-vegetarian
1169,Vaal Dal Pulav,indian vegetarian
1170,Amrood ki chutney,indian vegetarian
1171,Simple Sambar,indian vegetarian
1172,White Pumpkin - Ash Gourd Curry,anglo-indian vegetarian
1173,Yummy pepper Chicken,indian non-vegetarian
1174,Yummy Thayir Vadai,indian kid-friendly
1175,Aloo Hara Masala,indian vegetarian
1176,Vada Hariyali,indian kid-friendly
1177,Vermicelli and Mango Dessert,indian festive
1178,Tropical Pinch,indian kid-friendly
1179,Vegetable Lollipop,indian vegetarian
1180,Hot Chocolate Fudge,continental festive
1181,Date and Lentil Pulao,indian vegetarian
1182,Spicy Tender Vegan Mix,indian vegan
1183,Traditional Vegetable Pulao,indian vegetarian
1184,Easy Prawn pakoda,indian non-vegetarian
1185,Gaajar ka Halwa,indian kid-friendly
1186,Vegetable Pancake,indian non-vegetarian
1187,Vegetables in Stir Fried Noodles,thai vegetarian
1188,Amritsari Machli (Fish),indian non-vegetarian
1189,Aloo Saag,indian vegetarian
1190,Amla Quick Chutney,indian vegetarian
1191,Daal Dost,indian non-vegetarian
1192,Turkey Burgers,american kid-friendly
1193,Egg Curry in Tomato Gravy,indian non-vegetarian
1194,Chicken Tikka Gravy,indian festive
1195,Zucchini Pickle,indian vegetarian
1196,Aamras with Kesar,indian kid-friendly
1197,Quick Aloo Palak,indian vegetarian
1198,Dry Fruit Beverage,indian kid-friendly
1199,Akoori on Toast,indian non-vegetarian
1200,Vegetable Lasagne (For a buffet),italian kid-friendly
1201,Green pepper pickles,indian vegetarian
1202,Vegetarian Keema,indian kid-friendly
1203,Almond Diyas,indian kid-friendly
1204,Walnut Filled Biscuits,continental kid-friendly
1205,Rawa Kichidi,indian vegetarian
1206,Turai Khatta,indian vegetarian
1207,Traditional Palak Pulav,indian vegetarian
1208,Chilli Cheese Sticks,anglo-indian kid-friendly
1209,Veg Rolls,indian kid-friendly
1210,Watermelon Rind Curry,indian vegetarian
1211,Marinated Vegetable Salad,american vegetarian
1212,Aloo Fry,indian kid-friendly
1213,Watermelon Smoothie,indian festive
1214,Almond Choco Cookies,continental kid-friendly
1215,Til Gool,indian kid-friendly
1216,Zarda Seekh Kabab,indian vegetarian
1217,Grilled Apple Sauce Burgers,american vegetarian
1218,Vathal kulambhu,indian vegetarian
1219,Crushed Khakhras with Curds,indian kid-friendly
1220,Tortilla Sandwich,mexican kid-friendly
1221,Thousand Island Dressing,american vegetarian
1222,Strawberry Chocolate,american kid-friendly
1223,Wadi Aloo,indian vegetarian
1224,Aloo Chaat Lajawab,indian kid-friendly
1225,Vegetable Patholi,indian vegetarian
1226,Rava Khichadi,indian vegetarian
1227,Easy Aapam,indian vegetarian
1228,Coffee Milk Shake with Coffee Cubes,indian vegetarian
1229,Pudding In Pie,indian kid-friendly
1230,Quick Aloo Methi,indian vegetarian
1231,Easy Aloo Palak,indian vegetarian
1232,Watermelon Slush,continental kid-friendly
1233,Wheat Flour Au Gratin,indian vegetarian
1234,Peanuts-Lauki,indian vegetarian
1235,Peanut Salad,indian vegetarian
1236,Zesty Brinjal and Dal Curry,indian vegetarian
1237,Daal Poodi,indian vegetarian
1238,7 Cup Sweet,indian kid-friendly
1239,Grated Lauki Curry,indian vegetarian
1240,Vadas,indian kid-friendly
1241,Vanilla Muffins,anglo-indian kid-friendly
1242,Vanilla Flavoured Chocolate Cake,american kid-friendly
1243,Potato Puri,indian vegetarian
1244,Vegetable Halwa,indian festive
1245,Torai Channa dal Subzi,indian vegetarian
