,recipe_name,cuisine_diet
139,7 Cups Burfi,indian kid-friendly
140,Sauteed Spring Onions,indian vegetarian
141,Potatoes in Cumin Masala,indian vegetarian
142,Adrak Navratan,indian kid-friendly
143,Adi - Muglai Lauki,indian vegetarian
144,Amchoor (Dried Mango) Powder,indian vegetarian
145,Akbari Vegetables,indian vegetarian
146,Aloo Rasedar,indian vegetarian
147,Coconut Dosa,indian vegetarian
148,Minced Meat Kofta,indian non-vegetarian
149,Deep fried Chicken,indian non-vegetarian
150,Ras Malai with Eggs,indian kid-friendly
151,South-style Chicken Kurma,indian non-vegetarian
152,Hakka Noodles,chinese vegetarian
153,Andhra chicken curry,indian non-vegetarian
154,Aloo Capsicum Boats,indian vegetarian
155,Baby Corn Rice with green chilli pickle,indian vegetarian
156,Moong Dal Masala Vada,indian kid-friendly
157,All-Whole-Wheat Sourdough Bread,continental vegan
158,Anglo-Indian Mustard Sauce,anglo-indian vegetarian
159,Coriander Fish,indian non-vegetarian
160,Ready to make rava idli,indian kid-friendly
161,Thai Celery and coconut cream soup,thai non-vegetarian
162,Almond Toast,indian kid-friendly
163,Fruit Salad With full Cream,indian vegetarian
164,3 Minute Mamra Upma,indian kid-friendly
165,Almond Butter,american vegan
166,Dhokla,indian vegetarian
167,Apple Sauce Doughnuts,continental kid-friendly
168,Alu Pita,indian kid-friendly
169,Traditional Xmas cake,anglo-indian kid-friendly
170,Apple Jelly Delight,american kid-friendly
171,Tangy Chana Dal Chutney,indian vegetarian
172,Akbari Murg-bhat,indian non-vegetarian
173,Amboli,indian vegetarian
174,Army Camp Soup,anglo-indian non-vegetarian
175,Anjeer Barfi,indian vegetarian
176,Continental Strawberry Parfait,continental kid-friendly
177,Aloo Sarson Posta,indian vegetarian
178,Chilli Capsicum,indian vegetarian
179,Adai,indian low-calorie
180,Anglo-Burmese Piajo Soup,anglo-indian non-vegetarian
181,Aaviri Kudumu (Steamed Urad Dal Dumplings),indian vegetarian
182,Cabbage Kofta,indian vegetarian
183,Chana Dal-Cheese Kofta Curry,indian vegetarian
184,Aam ka Paratha stuffed with Chhunda,indian vegetarian
185,Hawaian Shake,indian kid-friendly
186,Aam ka meetha,indian vegetarian
187,Almond Brownies,continental kid-friendly
188,Kofta Biryani,indian vegetarian
189,Almond Praline with Vanilla Ice Cream,american kid-friendly
190,Kolkata Doi Mach,indian non-vegetarian
191,Banana Drink with chocolate syrup,indian vegetarian
192,Apricot White Chocolate Pulla,continental kid-friendly
193,Kerala Fish Curry,indian non-vegetarian
194,Anzac Biscuits,indian kid-friendly
195,Apple jalebi,continental kid-friendly
196,Rose Flavoured Thandai,indian vegetarian
197,Andhra Style Raw Mango Pickle,indian vegetarian
198,Aglio olio pasta,italian vegetarian
199,Fruit Salad with cream,indian kid-friendly
200,Amla Grape Juice,indian kid-friendly
201,Alighari Aloo Potato,indian vegetarian
202,Amb Khatta (Mango Pickle),indian vegetarian
203,Alu Palak Pulao,indian vegetarian
204,Apple Tart 'Maman Blanc',continental kid-friendly
205,Anglo Indian roast beef,anglo-indian non-vegetarian
206,Apple Crumble Tarts,continental vegetarian
207,Gajar ka pulao,indian vegetarian
208,Honey Carrot Kheer,indian vegetarian
209,Amazing Corn Cake,american kid-friendly
210,Yellow Coconut rice with Saffron,anglo-indian vegetarian
211,Paneer Fried Rice,indian vegetarian
212,Phoolgobi chawal,indian vegetarian
213,Andhra Gongura Thokku,indian vegetarian
214,Egg Roll Snack,indian non-vegetarian
215,Fried Crab Masala,indian non-vegetarian
216,A Rendezvous with Rice,anglo-indian vegetarian
217,Chicken with Lychees,chinese non-vegetarian
218,30-minute Cauliflower Kurma,indian vegetarian
219,Iyengar Mangai pachadi,indian vegetarian
220,American Cheese Pudding,american kid-friendly
221,Aebleskivers,indian vegetarian
222,Aloo Spinach pancakes,indian vegetarian
223,Aloo Paneer Curry,indian vegetarian
224,Apple Khova Crumble,indian vegetarian
225,Amla Honey Shot,indian kid-friendly
226,Ariselu,indian kid-friendly
227,Anglo-Indian Meat Vindaloo,anglo-indian non-vegetarian
228,Mango Kulfi,indian kid-friendly
229,Ananas rasam,indian kid-friendly
230,Jackfruit Curry,indian vegetarian
231,Amba Burfi,indian festive
232,Aam ki lassi,indian vegetarian
233,Pineapple Kesari,indian festive
234,Vegetable patties,indian vegetarian
235,Drumstick Kootu,indian vegetarian
236,Almond Milk,indian kid-friendly
237,Almond Pancakes,continental vegan
238,Aloo Bhajiyas,indian vegetarian
239,Andhra Chicken Kurma,indian non-vegetarian
240,Aloo Baigan (Brinjal) Ki Sabzi,indian vegetarian
241,Ada,indian vegetarian
242,All-In-One Dal,indian vegetarian
243,Aamor Asar,indian vegetarian
244,Anjeer ke kofte,indian vegetarian
245,Ari Payasam,indian festive
246,Adrak and Ajwain Flavoured Lassi,indian festive
247,Ananas (Pineapple) Pulao,indian vegetarian
248,Gujarati Thepla,indian vegetarian
249,Cheese Sauce Dip,indian kid-friendly
250,Aloo pulao,indian vegetarian
251,Apple Pachadi,indian kid-friendly
252,Muffin with onions,indian kid-friendly
253,Apricot Cream and Pear Sandwich,indian kid-friendly
254,Cabbage Pakoda,indian vegetarian
255,Apple Pudding,continental kid-friendly
256,Appam,indian kid-friendly
257,Indian Ivy Gourd Fry,indian vegetarian
258,Tasty Masala Vadai,indian kid-friendly
259,Almond Fried Fish with Ginger Sauce,chinese non-vegetarian
260,Almond Capsicum Stew,continental vegetarian
261,Aloo Cheese Ka Paratha,indian vegetarian
262,Pav Bhaji,indian kid-friendly
263,Prawn Toast,chinese non-vegetarian
264,Arbi Ki Sabzi,indian vegetarian
265,Andhra Mamidi Pappu (Mango Dal),indian vegetarian
266,Andhra gongura pachadi,indian vegetarian
267,Araichu Vitta Sambar,indian vegetarian
268,Yellow Moong Dal with Spinach,indian vegetarian
269,Aloo Paneer Kofta Curry,indian vegetarian
270,South Indian Lemon rasam,indian vegetarian
271,Doi Mach,indian non-vegetarian
272,Aloo and Baigan Pakodas,indian vegetarian
273,Cheese Loaf,indian vegetarian
274,Arabian Lentil Soup,arab non-vegetarian
275,Almond Cashew Curry,indian vegetarian
276,Indian Thekua,indian kid-friendly
